title,description,component
SequenceFile performance degrades substantially compression is on and large values are encountered,"The code snippet in quesiton is:       if (deflateValues) {         deflateIn.reset();         val.write(deflateIn);         deflater.reset();         deflater.setInput(deflateIn.getData(), 0, deflateIn.getLength());         deflater.finish();         while (!deflater.finished()) {           int count = deflater.deflate(deflateOut);           buffer.write(deflateOut, 0, count);         }       } else {    A couple of issues with this code:  1. The value is serialized to the 'deflateIn' buffer which is an instance of 'DataOutputBuffer', this grows as large as needed to store the serialized value and stays as large as the largest serialized value encountered. If, for instance a stream has a single 8MB value followed by several 8KB values the size of the buffer stays at 8MB. The problem is that the *entire* 8MB buffer is always copied over the JNI boundary regardless of the size of the value. We've observed this over several runs where compression performance degrades by a couple of orders of magnitude when a very large value is encountered. Shrinking the buffer fixes the problem.  2. Data is copied lots of times. First the value is serialized into 'deflateIn'. Second, the value is copied over the JNI boundary in *every* iteration of the while loop. Third, the compressed data is copied piecemeal into 'deflateOut'. Finally, it is appended to 'buffer'.   Proposed fix:  1. Don't let big buffers persist. Allow 'deflateIn' to grow to a *persistent* maximum reasonable size, say 64KB. If a larger value is encountered, grow the buffer in order to process the value, then shrink it back to the maximum size. To do this, we add a 'reset' method which takes a buffer size.  2. Don't use a loop to deflate. The maximum size of the output can be determined by 'maxOutputSize = inputSize * 1.01 + 12'. This is the maximum output size that zlib will produce. We allocate a large enough output buffer and compress everything in 1 pass. The output buffer, of course, needs to shrink as well.   ",io
Configuration: separate client config from server config (and from other-server config),"servers = JobTracker, NameNode, TaskTracker, DataNode clients =  runs JobClient (to submit MapReduce jobs), or runs DFSShell (to browse )  Server machines are administered together. So it is OK to have all server config together (esp file paths and network ports). This is stored in hadoop-default.xml or hadoop-mycluster.xml  Client machines: there may be as many client machines as there are MapRed developers. the temp space for DFS needs to be writable by the active user. So it should be possible to select the client temp space directory for the machine and for the user. (The global /tmp is not an option as discussed elsewhere: partition may be full)  Current situation:  Both the server and the clients have a copy of the server config: hadoop-default.xml But the XML property  ""dfs.data.dir"" is being used as a LOCAL directory path  on both the server machines (Data nodes) and the client machines.  Effect: Exception in thread ""main"" java.io.IOException: No valid local directories in property: dfs.data.dir  at org.apache.hadoop.conf.Configuration.getFile(Configuration.java:286)  at org.apache.hadoop.dfs.DFSClient$DFSOutputStream.newBackupFile(DFSClient.java:560)  ...  at org.apache.hadoop.mapred.JobClient.submitJob(JobClient.java:267)   Current Workaround: On the client use hadoop-site.xml to override dfs.data.dir  One proposed solution:  For the purpose of JobClient operations, use a different property in place of dfs.data.dir. (Ex: dfs.client.data.dir)  On the client, set this property in hadoop-site.xml so that it will override hadoop-default.xml   Another proposed solution:  Handle the fact that the world is made of a federation of independant Hadoop systems. They can talk to each other (as peers) but they are administered separately. Each Hadoop system should have its own separate XML config file. Clients should be able to specify the Hadoop system they want to talk to. An advantage is that clients can then easily sync their local copy of a given Hadoop system config:  just pull its config file  In this view of the world, a Job client is also a kind of independant (serverless) Hadoop system In this case the client config file may have its own dfs.data.dir, which is  separate from the dfs.data.dir in the server config file.  ",conf
Reading an ArrayWriter does not work because valueClass does not get initialized,"If you have a Reducer whose value type is an ArrayWriter it gets enstreamed alright but at reconstruction type when ArrayWriter::readFields(DataInput in) runs on a DataInput that has a nonempty ArrayWriter , newInstance fails trying to instantiate the null class.",io
LocalFileSystem.makeAbsolute bug on Windows," LocalFileSystem.makeAbsolute() has a bug when running on Windows (which is very useful for the development phase of a Hadoop task on one's laptop).  Problem:  if a pathname such as /tmp/hadoop... is given in a config file, when the jobconf file is created, it is put into the relative directory named: currentdir/tmp/hadoop..., but when hadoop tries to open the file, it looks in c:/tmp/hadoop..., and the job fails.  Cause: while Unix has two kinds of filespecs (relative and absolute), WIndows actually has three:  (1) relative to current directory (subdir/file) (2) relative to current disk (/dir/subdir/file) (3) absolute (c:/dir/subdir/file)  So when a config file specifies a directory with what-is-on-unix an absolute path (/tmp/hadoop...), the makeAbsolute() method will not work correctly. Basically, File.isAbsolute() will return false for cases (1) and (2) above, but true for case (3), which is not expected by the code below.   The solution would be to code explicit detection of all three casses for Windows in the code below from LocalFileSystem:      private File makeAbsolute(File f) {       if (f.isAbsolute()) {         return f;       } else {         return new File(workingDir, f.toString());       }     }  Im happy to explain if this explanation is confusing... ",fs
Unclear precedence of config files and property definitions,"The order in which configuration resources are read is not sufficiently documented, and also there are no mechanisms preventing harmful re-definition of certain properties, if they are put in wrong config files.  From reading the code in Hadoop Configuration.java, JobConf.java and Nutch NutchConfiguration.java I _think_ this is what's happening.  There are two groups of resources: default resources, loaded first, and final resources, loaded at the end. All properties (re)-defined in files loaded later will override any previous definitions:  * default resources: loaded in the order as they are added. The following files are added here, in order:      1. hadoop-default.xml (Configuration)     2. nutch-default.xml  (NutchConfiguration)     3. mapred-default.xml (JobConf)     4. job_xx_xxx.xml       (JobConf, in JobConf(File config))  * final resource: which always come after default resources, i.e. if any value is defined here it will always override those set in default resources (NOTE: including per job settings!!!). The following files are added here, in reversed order:      2. hadoop-site.xml (Configuration)     1. nutch-site.xml    (NutchConfiguration)  (i.e. hadoop-site.xml will take precedence over anything else defined in any other config file).  I would appreciate checking that this is indeed the case, and suggestions how to ensure that you cannot so easily shoot yourself in the foot if you define wrong properties in hadoop-site or nutch-site ...",conf
FileSystem should not name files with java.io.File,"In Hadoop's FileSystem API, files are currently named using java.io.File.  This is confusing, as many methods on that class are inappropriate to call on Hadoop paths.  For example, calling isDirectory(), exists(), etc. on a java.io.File is not the same as calling FileSystem.isDirectory() or FileSystem.exists() passing that same file.  Using java.io.File also makes correct operation on Windows difficult, since java.io.File operates differently on Windows in order to accomodate Windows path names.  For example, new File(""/foo"") is not absolute on Windows, and prints its path as ""\\foo"", which causes confusion.  To fix this we could replace the uses of java.io.File in the FileSystem API with String, a new FileName class, or perhaps java.net.URI.  The advantage of URI is that it can also naturally include the namenode host and port.  The disadvantage is that URI does not support tree operations like getParent().  This change will cause a lot of incompatibility.  Thus it should probably be made early in a development cycle in order to maximize the time for folks to adapt to it.",fs
Overlong UTF8's not handled well,"When we feed an overlong string to the UTF8 constructor, two suboptimal things happen.  First, we truncate to 0xffff/3 characters on the assumption that every character takes three bytes in UTF8.  This can truncate strings that don't need it, and it can be overoptimistic since there are characters that render as four bytes in UTF8.  Second, the code doesn't actually handle four-byte characters.  Third, there's a behavioral discontinuity.  If the string is ""discovered"" to be overlong by the arbitrary limit described above, we truncate with a log message, otherwise we signal a RuntimeException.  One feels that both forms of truncation should be treated alike.  However, this issue is concealed by the second issue; the exception will never be thrown because UTF8.utf8Length can't return more than three times the length of its input.  I would recommend changing UTF8.utf8Length to let its caller know how many characters of the input string will actually fit if there's an overflow [perhaps by returning the negative of that number] and doing the truncation accurately as needed.  -dk  ",io
Deadlock in LocalFileSystem lock/release,"LocalFileSystem lock/release methods marked synchronized and inside they lock file channel - this produces deadlock situation. Let's see how it happens:  1. First thread locks the file and starts some long-running process. 2. Second thread tries to lock the file and it blocks inside channel lock method. It  keeps LocalFileSystem instance ""locked"" as well.  3. First thread finished it's processing and tries to release lock - it blocks because LocalFileSystem instance is ""locked"" by second thread - both threads are waiting to each other.  ",fs
io.skip.checksum.errors property clashes with LocalFileSystem#reportChecksumFailure,"Below is from email to the dev list on Tue, 11 Apr 2006 14:46:09 -0700.  Checksum errors seem to be a fact of life given the hardware we use.  They'll often cause my jobs to fail so I have been trying to figure how to just skip the bad records and files.  At the end is a note where Stefan pointed me at 'io.skip.checksum.errors'.   This property, when set, triggers special handling of checksum errors inside SequenceFile$Reader: If a checksum, try to skip to next record.  Only, this behavior can conflict with another checksum handler that moves aside the problematic file whenever a checksum error is found.  Below is from a recent log.  060411 202203 task_r_22esh3  Moving bad file /2/hadoop/tmp/task_r_22esh3/task_m_e3chga.out to /2/bad_files/task_m_e3chga.out.1707416716 060411 202203 task_r_22esh3  Bad checksum at 3578152. Skipping entries. 060411 202203 task_r_22esh3  Error running child 060411 202203 task_r_22esh3 java.nio.channels.ClosedChannelException 060411 202203 task_r_22esh3     at sun.nio.ch.FileChannelImpl.ensureOpen(FileChannelImpl.java:89) 060411 202203 task_r_22esh3     at sun.nio.ch.FileChannelImpl.position(FileChannelImpl.java:276) 060411 202203 task_r_22esh3     at org.apache.hadoop.fs.LocalFileSystem$LocalFSFileInputStream.seek(LocalFileSystem.java:79) 060411 202203 task_r_22esh3     at org.apache.hadoop.fs.FSDataInputStream$Checker.seek(FSDataInputStream.java:67) 060411 202203 task_r_22esh3     at org.apache.hadoop.fs.FSDataInputStream$PositionCache.seek(FSDataInputStream.java:164) 060411 202203 task_r_22esh3     at org.apache.hadoop.fs.FSDataInputStream$Buffer.seek(FSDataInputStream.java:193) 060411 202203 task_r_22esh3     at org.apache.hadoop.fs.FSDataInputStream.seek(FSDataInputStream.java:243) 060411 202203 task_r_22esh3     at org.apache.hadoop.io.SequenceFile$Reader.seek(SequenceFile.java:420) 060411 202203 task_r_22esh3     at org.apache.hadoop.io.SequenceFile$Reader.sync(SequenceFile.java:431) 060411 202203 task_r_22esh3     at org.apache.hadoop.io.SequenceFile$Reader.handleChecksumException(SequenceFile.java:412) 060411 202203 task_r_22esh3     at org.apache.hadoop.io.SequenceFile$Reader.next(SequenceFile.java:389) 060411 202203 task_r_22esh3     at org.apache.hadoop.mapred.ReduceTask.run(ReduceTask.java:209) 060411 202203 task_r_22esh3     at org.apache.hadoop.mapred.TaskTracker$Child.main(TaskTracker.java:709)  (Ignore line numbers.  My code is a little different from main because I've other debugging code inside in SequenceFile.  Otherwise I'm running w/ head of hadoop).  The SequenceFile$Reader#handleChecksumException is trying to skip to next record but the file has been closed by the move-aside.   On the list there is some discussion on merit of moving aside file when bad checksum found.  I've trying to test what happens if we leave the file in place but haven't had a checksum error in a while.    Opening this issue so place to fill in experience as we go. ",io
RPC code has socket leak?,"In RPC.java, the field named CLIENT should be neither static, nor a field of RPC. It should be (a) a private nonstatic field of InvocationHandler(),and (just further down), (b) a local variable in the RPC.call() method below.  The comment above the declaration was a bit of giveaway:      //TODO mb@media-style.com: static client or non-static client?   private static Client CLIENT;     private static class Invoker implements InvocationHandler {     private InetSocketAddress address;      public Invoker(InetSocketAddress address, Configuration conf) {       this.address = address;       CLIENT = (Client) conf.getObject(Client.class.getName());       if(CLIENT == null) {           CLIENT = new Client(ObjectWritable.class, conf);           conf.setObject(Client.class.getName(), CLIENT);       }     }      public Object invoke(Object proxy, Method method, Object[] args)       throws Throwable {       ObjectWritable value = (ObjectWritable)         CLIENT.call(new Invocation(method, args), address);       return value.get();     }   }    /** Construct a client-side proxy object that implements the named protocol,    * talking to a server at the named address. */   public static Object getProxy(Class protocol, InetSocketAddress addr, Configuration conf) {     return Proxy.newProxyInstance(protocol.getClassLoader(),                                   new Class[] { protocol },                                   new Invoker(addr, conf));   }    /** Expert: Make multiple, parallel calls to a set of servers. */   public static Object[] call(Method method, Object[][] params,                               InetSocketAddress[] addrs, Configuration conf)     throws IOException {      Invocation[] invocations = new Invocation[params.length];     for (int i = 0; i < params.length; i++)       invocations[i] = new Invocation(method, params[i]);     CLIENT = (Client) conf.getObject(Client.class.getName());     if(CLIENT == null) {         CLIENT = new Client(ObjectWritable.class, conf);         conf.setObject(Client.class.getName(), CLIENT);     }     Writable[] wrappedValues = CLIENT.call(invocations, addrs);          if (method.getReturnType() == Void.TYPE) {       return null;     }      Object[] values =       (Object[])Array.newInstance(method.getReturnType(),wrappedValues.length);     for (int i = 0; i < values.length; i++)       if (wrappedValues[i] != null)         values[i] = ((ObjectWritable)wrappedValues[i]).get();          return values;   }.  ",ipc
Add a conf dir parameter to the scripts,"We'd like a conf_dir parameter on the startup scripts (ie. ""-c <confdif>""). In particular, it would be nice if it propagated down from hadoop-daemons.sh to slaves.sh to hadoop-daemon.sh using the command line rather than using the ssh -o SendEnv=HADOOP_CONF_DIR, which is not supported in many environments.",conf
IPC is unable to invoke methods that use interfaces as parameter,Methods of the implementation class are searched via method name and call parameters that can be implementations of the interfaces defined in the method signature. ,ipc
reducing the number of Configuration & JobConf objects created,"Currently, Configuration and JobConf objects are created many times during executing a job. In particular, the Task Tracker creates a lot of them. They both clutter up the logs and parse the xml config files over and over again.",conf
setReplication and related bug fixes,"Having variable replication (HADOOP-51) it is natural to be able to change replication for existing files. This patch introduces the functionality. Here is a detailed list of issues addressed by the patch.  1) setReplication() and getReplication() methods are implemented. 2) DFSShell prints file replication for any listed file. 3) Bug fix. FSDirectory.delete() logs delete operation even if it is not successful. 4) Bug fix. This is a distributed bug. Suppose that file replication is 3, and a client reduces it to 1. Two data nodes will be chosen to remove their copies, and will do that. After a while they will report to the name node that the copies have been actually deleted. Until they report the name node assumes the copies still exist. Now the client decides to increase replication back to 3 BEFORE the data nodes reported the copies are deleted. Then the name node can choose one of the data nodes, which it thinks have a block copy, to replicate the block to new data nodes. This setting is quite unusual but possible even without variable replications. 5) Logging for name and data nodes is improved in several cases. E.g. data nodes never logged that they deleted a block.  ",fs
rpc doesn't handle returning null for a String[],The job tracker gets errors in returning the result from pollForTaskWithClosedJob  060427 100434 Served: pollForTaskWithClosedJob 0 declaredClass = [Ljava.lang.String; instance class = org.apache.hadoop.io.NullWritable         at org.apache.hadoop.io.ObjectWritable.writeObject(ObjectWritable.java:95)         at org.apache.hadoop.io.ObjectWritable.write(ObjectWritable.java:65)         at org.apache.hadoop.ipc.Server$Handler.run(Server.java:230) ,ipc
Utilities for reading SequenceFile and MapFile,"Most data in Hadoop is stored in SequenceFile-s and MapFile-s. Sometimes there is a need to examine such files, but no specialized utilities exist ro read them.  These two classes provide a functionality to examine individual records in such files, and also to dump the content of such files to a plain text output.",io
comparators of integral writable types are not transitive for inequalities,"Consider the following code from IntWritable.java :      public int compare(byte[] b1, int s1, int l1,                        byte[] b2, int s2, int l2) {       int thisValue = readInt(b1, s1);       int thatValue = readInt(b2, s2);       return thisValue - thatValue;     }  If a Java Runtime subtracts 20 from -(2^31 - 10) it gets a huge positive number, not the negative value that the comparator should return.  LongWritable does this right, of course.  That last line should be         return (thisValue<thatValue ? -1 : (thisValue==thatValue ? 0 : 1));  -dk ",io
DFS i/o benchmark.,"DFS i/o benchmark is a map-reduce based test that measures performance of the cluster for reads and writes. This is an evolved version of HADOOP-72, and HADOOP-95 test.  This test writes into or reads from a specified number of files. File size is specified as a parameter to the test. Each file is processed in a separate map task. The unique reducer then collects stats. Finally, the following information is displayed  # read or write test # date and time the test finished # number of files processed # total number of bytes processed # throughput in mb/sec (total number of bytes / sum of processing times) # average i/o rate in mb/sec per file # standard i/o rate deviation  I  included the test into the AllTestDriver.",fs
Fix buggy uselessness of Configuration( Configuration other) constructor,The constructor  public Configuration(Configuration other) ,conf
remove deprecated java.io.File methods,"Now that the 0.2 release is out, we should remove the deprecated FileSystem methods that use java.io.File, since using org.apache.hadoop.fs.Path is less error-prone.",fs
Need to tweak a few things in the metrics package to support the Simon plugin,"(1) added an extra metrics.jar target to the build.xml so that I can build a stand-alone library containing only the metrics package and its subpackages.  (2) added serialversionUIDs to a bunch of classes to make Eclipse happy  (3) made AbstractMetricsContext.createRecord final, and added a protected newRecord that subclasses can use to customize record creation without breaking the parent class.  (4) minor fix to how errors in callbacks are handled  (5) constructor in MetricsRecordImpl made protected rather than package private so that it can be subclassed  (6) extended Util.parse(String serverSpecs, int defaultPort) to handle the case of a null serverSpecs by defaulting to localhost  ",metrics
Add a program to recursively copy directories across file systems,"A useful feature would be a simple command to copy directories recursively across filesystems. The source and destination path should be specified using a filesystem-neutral URI, such as:  hadoop cp dfs://namenode1:port1/path/to/srcdir file:///path/to/local/destination/dir  ""cp"" command would invoke a map-reduce program to copy files recursively.  I willl attach a patch as soon as svn is up and running.",fs
SequenceFile#handleChecksumException NPE,"The SequenceFile#handleChecksumException assumes the conf data member has been set.  It will not be set if we use the 'Reader(FileSystem fs, Path file, int bufferSize, long start, long length)' constructor.  The latter is used by ReduceTask Sorter:   java.lang.NullPointerException   org.apache.hadoop.io.SequenceFile$Reader.handleChecksumException(SequenceFile.java:407)   org.apache.hadoop.io.SequenceFile$Reader.next(SequenceFile.java:400)   org.apache.hadoop.io.SequenceFile$Sorter$MergeStream.next(SequenceFile.java:837)   org.apache.hadoop.io.SequenceFile$Sorter$MergeQueue.merge(SequenceFile.java:881)   org.apache.hadoop.io.SequenceFile$Sorter$MergePass.run(SequenceFile.java:766)   org.apache.hadoop.io.SequenceFile$Sorter.mergePass(SequenceFile.java:702)   org.apache.hadoop.io.SequenceFile$Sorter.sort(SequenceFile.java:528)   org.apache.hadoop.mapred.ReduceTask.run(ReduceTask.java:253)   org.apache.hadoop.mapred.TaskTracker$Child.main(TaskTracker.java:787) ",io
Add -dfs and -jt command-line parameters to specify namenode and jobtracker.,Most hadoop commands accept -df and -jt commandline parameters. Make the cp command to accept those as well.,fs
hadoop cp should have a -config option,"hadoop cp should have a -config option to enable overriding of default parameters. it  would perhaps be good to rename the command as well to something like dcp or distcp, since it's not a simple command, but rather an entire map-recude job",fs
hadoop cp should generate a better number of map tasks,"hadoop cp currently assigns 10 files to copy per map task. in case of a small number of large files on a large cluster (say 300 files of 30GB each on a 300 node cluster), this results in long execution times. better would be to assign files per task such that the entire cluster is utilized: one file per map, with a cap of 10000 maps total, so as not to over burden the job tracker.",fs
Standard set of Performance Metrics for Hadoop,"I am starting to use Hadoop's shiny new Metrics API to publish performance (and other) Metrics of running jobs and other daemons.  Which performance metrics are people interested in seeing ? If possible, please group them according to modules, such as map-reduce, dfs, general-cluster-related etc. I will follow this process:  1. collect this list 2. assess feasibility of obtaining metric 3. assign context/record/metrics names 4. seek approval for names 5. instrument the code. ",metrics
TestCopyFiles fails under cygwin due to incorrect path,Under cygwin TestCopyFiles generates an incorrect url which includes windows style path. This is the result of concatenation of a win path with unix path. File.getPath() should be used to produce a consistent path. ,fs
record io translator doesn't strip path names,"When I run the record translator with a pathname, the path name is not stripped. So for example:  % bin/rcc --language c++ foo/bar/bat.jr  generates:  foo/bar/bat.jr.hh (instead of ./bat.jr.hh) and the first line is #ifndef __FOO/BAR/BAT_JR_HH__  the first was unexpected and the second is clearly wrong.",record
the record-io generated c++ has wrong comments,The comments on the namespaces on the closing come out backward:  } // end namespace org } // end namespace apache } // end namespace hadoop } // end namespace record } // end namespace test ,record
add versioning to RPC,"currently, any change to any rpc message breaks the protocol, with mysterious exceptions occurring at run time. a versioning sceme would have two benefits: - intelligent error messages, indicating that an upgrade is required - backwards compatibility could be supported.  the proposal is to add a ""const version"" for each protocol, and a method: int getVersion(int version) that sends the client's version and receives the server's version. This would be the first method invoked on connection. Both sides then either agree on the lowest version number, providing backwards compatibility support, or abort the connection as ""unsupported version"".",ipc
Client Calls are not cancelled after a call timeout,"In ipc/Client.java, if a call times out, a SocketTimeoutException is thrown but the Call object still exists on the queue.  What I found was that when transferring very large amounts of data, it's common for queued up calls to timeout. Yet even though the caller has is no longer waiting, the request is still serviced on the server and the data is sent to the client. The client after receiving the full response calls callComplete() which is a noop since nobody is waiting.  The problem is that the calls that timeout will retry and the system gets into a situation where data is being transferred around, but it's all data for timed out requests and no progress is ever made.  My quick solution to this was to add a ""boolean timedout"" to the Call object which I set to true whenever the queued caller times out. And then when the client starts to pull over the response data (in Connection::run) to first check if the Call is timedout and immediately close the connection.  I think a good fix for this is to queue requests on the client, and do a single sendParam only when there is no outstanding request. This will allow closing the connection when receiving a response for a request we no longer have pending, reopen the connection, and resend the next queued request. I can provide a patch for this, but I've seen a lot of recent activity in this area so I'd like to get some feedback first.",ipc
RPC doesn not handle exceptions correctly,"1. Examining HADOOP-264 bug I realized that not all rpc server exceptions are actually returned to the client. Particularly, if an exception happens in  org.apache.hadoop.ipc.Server.Connection.run() for example inside  param.readFields(in); then it logged but never returned back to the client. Client simply timeouts in this case, which is not exactly what one would expect.  2. On the way back  org.apache.hadoop.ipc.Client.call() rpc client always throws a RemoteException, rather than the exception wrapped into this RemoteException. ",ipc
add FAQ to Wiki,Hadoop should have an FAQ in the Wiki.  We can bootstrap this by reviewing the mailing list archives.,documentation
Speed up SequenceFile sort with memory reduction,I replaced the merge sort with a quick sort and it yielded approx 30% improvement in sort time. It also reduced the memory requirement for sorting because the sort is done in place.,io
